uid,group,day,hk_stepcount,hk_activeenergyburned,hk_appleexercisetime,hk_distancewalkingrunning,hk_workout_count,week
P0,treatment,-89,2681.0,225.21099999999984,3.0,1.2379349844456378,0,-12
P0,treatment,-88,4556.941063968803,231.633,7.0,2.1141704429816524,0,-12
P0,treatment,-87,3490.0,236.90200000000016,3.0,1.592156983237441,0,-12
P0,treatment,-86,3779.0,257.81600000000026,5.0,1.9579308881655275,0,-12
P0,treatment,-85,8008.0,492.72680847040925,9.0,3.811556636983882,0,-12
P0,treatment,-84,1894.0,98.38019152959032,2.0,0.8288915079173825,0,-12
P0,treatment,-83,263.0,,,0.1048439612664831,0,-11
P0,treatment,-82,3966.0,235.57099999999951,4.0,1.819626223,0,-11
P0,treatment,-81,8547.0,514.6339999999976,53.0,4.064732294636364,1,-11
P0,treatment,-80,4539.0,333.6929999999998,5.0,2.1061130768608467,0,-11
P0,treatment,-79,5110.0,340.88100000000054,3.0,2.3874064900142984,0,-11
P0,treatment,-78,7330.291865029556,476.32525631788775,10.0,3.4154185804374158,0,-11
P0,treatment,-77,717.1524973597564,52.62074368,1.0,0.3274051494429217,0,-11
P0,treatment,-76,37.0,,,0.012004891,0,-10
P0,treatment,-75,6177.0,404.8250000000011,49.0,2.8137004999654702,1,-10
P0,treatment,-74,5359.0,286.265,8.0,2.459327360102098,0,-10
P0,treatment,-73,7210.0,471.3800000000019,47.0,3.340566647574348,1,-10
P0,treatment,-72,4305.0,285.47600000000017,1.0,1.993861571917352,0,-10
P0,treatment,-71,3759.441130781017,284.3030000000008,10.0,1.732859753373324,0,-10
P0,treatment,-70,4691.0,284.4870000000003,10.0,2.144669317907502,0,-10
P0,treatment,-69,73.0,,,0.029092599,0,-9
P0,treatment,-68,4852.0,381.9100000000004,49.0,2.2377850616176165,1,-9
P0,treatment,-67,4824.712466395082,323.48492397872604,6.0,2.223379097566401,0,-9
P0,treatment,-66,179.0,9.658076021,,0.075595107,0,-9
P0,treatment,-65,195.0,,,0.080144456,0,-9
P0,treatment,-64,5261.0,247.24100000000035,5.0,2.428921187949422,0,-9
P0,treatment,-63,3866.0,329.70199999999977,57.0,1.7880696928542674,1,-9
P0,treatment,-62,54.0,,,0.021803915,0,-8
P0,treatment,-61,3572.0,236.65300000000028,4.0,1.630516336788122,0,-8
P0,treatment,-60,3793.0,261.5660000000007,5.0,1.878451814145483,0,-8
P0,treatment,-59,6391.0,364.8750000000011,21.0,2.8374047598906262,1,-8
P0,treatment,-58,3337.0,235.81500000000025,10.0,1.5635642439010975,0,-8
P0,treatment,-57,2625.0,0.376,,0.9099546151297832,0,-8
P0,treatment,-56,11219.0,543.9176448351931,20.0,5.205744767342318,0,-8
P0,treatment,-55,5242.0,282.10435516480624,,2.4261707128050323,0,-7
P0,treatment,-54,2233.650910153461,199.51900000000023,2.0,1.0131680744587908,0,-7
P0,treatment,-53,3436.6232610855186,255.29300000000052,10.0,1.5951600455901227,0,-7
P0,treatment,-52,4910.0,309.53900000000056,4.0,2.2496059654295824,0,-7
P0,treatment,-51,2271.0,122.47499999999992,4.0,1.0210202049150845,0,-7
P0,treatment,-50,3978.0,267.0110000000004,8.0,1.8988042318639968,0,-7
P0,treatment,-49,52.0,,,0.017783644,0,-7
P0,treatment,-48,762.0,,,0.2951885985837238,0,-6
P0,treatment,-47,4721.0,355.1860000000011,4.0,2.188253919,0,-6
P0,treatment,-46,3001.0,233.68600000000023,1.0,1.388313586062368,0,-6
P0,treatment,-45,3807.0,304.447,4.0,1.7704666097270936,0,-6
P0,treatment,-44,4068.0,260.6350000000002,3.0,1.9491580529562127,0,-6
P0,treatment,-43,4784.0,298.46200000000056,12.0,2.5275897651101698,0,-6
P0,treatment,-42,64.0,,,0.02566263,0,-6
P0,treatment,-41,1529.0,,,0.7092082239719225,0,-5
P0,treatment,-40,4202.0,256.3510000000005,4.0,1.9202765724139468,0,-5
P0,treatment,-39,3877.0,305.9200000000006,13.0,1.817716870346312,0,-5
P0,treatment,-38,4308.0,336.71700000000004,12.0,1.995700796279764,0,-5
P0,treatment,-37,2696.0,244.2900000000005,2.0,1.2224383237754377,0,-5
P0,treatment,-36,3284.0,271.43300000000056,6.0,1.5156070874548364,0,-5
P0,treatment,-35,4486.0,,,1.7528011413343805,0,-5
P0,treatment,-34,136.0,,,0.055786706,0,-4
P0,treatment,-33,3410.0,300.2520000000006,3.0,1.5674643266065944,0,-4
P0,treatment,-32,3662.4147497544113,261.21200000000044,6.0,1.6855807273108774,0,-4
P0,treatment,-31,5895.0,356.7180000000007,8.0,2.7235050912002063,0,-4
P0,treatment,-30,3757.427464302818,262.86700000000025,4.0,1.7214163907757902,0,-4
P0,treatment,-29,4150.0,282.7400000000006,1.0,1.9310787282918849,0,-4
P0,treatment,-28,155.0,,,0.06056505,0,-4
P0,treatment,-27,1517.0,,,0.5899546647570563,0,-3
P0,treatment,-26,3195.0,292.3210000000008,2.0,1.4659515167482675,0,-3
P0,treatment,-25,3434.0,218.19600000000017,7.0,1.5712311391933271,0,-3
P0,treatment,-24,3717.0,211.1700000000003,5.0,1.7046615419422213,0,-3
P0,treatment,-23,619.0,,,0.2934239043980071,0,-3
P0,treatment,-22,1888.0,,,0.7568312578112361,0,-3
P0,treatment,-21,1507.0,,,0.6819597048479542,0,-3
P0,treatment,-20,148.0,,,0.055873698,0,-2
P0,treatment,-19,3692.9459477511728,273.504,4.0,1.715018998698454,0,-2
P0,treatment,-18,4658.046155542409,295.2090000000003,11.0,2.2063390201683704,0,-2
P0,treatment,-17,3656.0,266.6290000000004,3.0,1.6903159044585203,0,-2
P0,treatment,-16,3241.551609779896,250.64400000000035,3.0,1.4893686646236233,0,-2
P0,treatment,-15,4261.281358808734,170.21099999999998,4.0,2.0512497544627712,0,-2
P0,treatment,-14,7092.0,281.153,30.0,3.386016783620016,0,-2
P0,treatment,-13,69.0,,,0.026855663,0,-1
P0,treatment,-12,863.0,,,0.3623914174663032,0,-1
P0,treatment,-11,2710.0,192.31000000000003,4.0,1.251272793751543,0,-1
P0,treatment,-10,5106.0,323.7600000000008,6.0,2.3379324843484044,0,-1
P0,treatment,-9,4680.0,330.79100000000034,6.0,2.202044106217776,0,-1
P0,treatment,-8,5754.470006504572,316.8860000000002,8.0,2.631477171500087,0,-1
P0,treatment,-7,814.1492044512528,0.324,,0.3117217537409891,0,-1
P0,treatment,-6,112.0,,,0.045857194,0,0
P0,treatment,-5,5637.0,294.33400000000034,12.0,2.5364617991311773,0,0
P0,treatment,-4,3616.255996930674,257.4040000000003,2.0,1.6705802827260088,0,0
P0,treatment,-3,4443.325870612052,307.19900000000047,6.0,2.044781882623633,0,0
P0,treatment,-2,3286.0,66.18600000000004,13.0,1.450897695777811,0,0
P0,treatment,-1,2191.406245046416,122.46599999999998,3.0,0.9651274529299296,0,0
P0,treatment,0,10006.0,403.9610000000002,16.0,4.701440510343625,0,0
P0,treatment,1,1263.0,66.43400000000001,2.0,0.576302227,0,1
P0,treatment,2,6199.0,397.1030000000005,33.0,2.896204538574576,1,1
P0,treatment,3,6073.0,308.8190000000008,15.0,2.758467458864469,0,1
P0,treatment,4,5704.0,400.84200000000055,52.0,2.616627179121286,1,1
P0,treatment,5,3573.0,245.87400000000017,5.0,1.667612458463522,0,1
P0,treatment,6,6194.0,305.185,8.0,2.7826123594839287,0,1
P0,treatment,7,6918.0,509.05799999999897,81.0,3.1509128198767504,2,1
P0,treatment,8,4582.0,298.56099999999964,69.0,2.111633315906438,1,2
P0,treatment,9,5159.0,335.3350000000006,48.0,2.393203646058331,1,2
P0,treatment,10,4383.0,260.5120000000005,3.0,1.9987213595545792,0,2
P0,treatment,11,5468.699977292864,418.307,44.0,2.538258292969578,3,2
P0,treatment,12,6014.0,402.058,49.0,2.8708478582325707,1,2
P0,treatment,13,4971.0,264.98199999999974,3.0,2.3067879245561937,0,2
P0,treatment,14,17934.0,673.8799999999953,120.0,8.264988192158793,1,2
P0,treatment,15,2400.0,260.6670000000009,93.0,1.1030863491510334,1,3
P0,treatment,16,6497.0,383.889,50.0,2.932178250794488,1,3
P0,treatment,17,6946.0,342.719,5.0,3.137825986997571,0,3
P0,treatment,18,6955.0,511.3689999999999,82.0,3.141646072407766,4,3
P0,treatment,19,4292.0,275.3210000000001,2.0,1.9321490666763763,2,3
P0,treatment,20,5596.0,401.57200000000086,46.0,2.5259426070710056,2,3
P0,treatment,21,10275.0,489.64499999999776,39.0,4.688029113023376,1,3
P0,treatment,22,7535.0,520.9259999999975,72.0,3.4314577173863925,1,4
P0,treatment,23,6401.0,460.78100000000063,57.0,2.913709773830541,1,4
P0,treatment,24,6389.0,467.5010000000006,53.0,2.9016166781515293,1,4
P0,treatment,25,4898.0,312.7380000000004,4.0,2.2210003579407864,0,4
