UID,Condition,Week,I am satisfied with my current level of physical activity.,I am a physically active person.,I am committed to my physical activity goal.,How hopeful are you about your physical health today?,How was your mood today?,"On a scale of 1 to 10, how would you rate your overall experience with the app this week? (1: terrible, 10: Outstanding)","On a scale of 1 to 10, how do you like the visual of the wallpaper of this week? (1: not at all, 10: extremely)",EXERCISING is:,EXERCISING is:.1,I don’t get enough exercise because I have never learned the skills for any sport.,"Physical activity takes too much time away from other commitments—time, work, family, etc.",It’s just too expensive. You have to take a class or join a club or buy the right equipment.,My usual social activities with family or friends do not include physical activity.,My usual social activities with family or friends do not include physical activity..1,I’m just too tired to get any exercise on most days,"I want to get more exercise, but I just can’t seem to make myself stick to anything.",I’m afraid I might injure myself when I exercise,overall_rating_num,wallpaper_rating_num,pa_health_satisfaction_num,pa_health_active_num,pa_health_commitment_num,mindset_ease_num,mindset_fun_num,barrier_1_num,barrier_2_num,barrier_3_num,barrier_4_num,barrier_total
P4,C,1,Agree,Agree,Agree,Hopeful,Pleasant,7: Good,7: Fairly,Somewhat easy,Somewhat boring,Somewhat likely,Somewhat likely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Maybe I can,I’m sure I can,I’m sure I cannot,7,7,4,4,4,3,2,2,2,0,1,5
P4,C,2,Agree,Agree,Agree,Hopeful,Pleasant,7: Good,6: Moderately,Somewhat easy,Somewhat fun,Somewhat unlikely,Somewhat unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Maybe I can,I’m slightly sure I can,I’m slightly sure I cannot,7,6,4,4,4,3,3,1,1,0,1,3
P4,C,3,Agree,Agree,Agree,Hopeful,Pleasant,7: Good,6: Moderately,Somewhat easy,Somewhat fun,Somewhat unlikely,Somewhat likely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I can,7,6,4,4,4,3,3,1,2,0,1,4
P4,C,4,Agree,Agree,Agree,Hopeful,Pleasant,7: Good,6: Moderately,Somewhat easy,Somewhat fun,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m slightly sure I can,I’m slightly sure I can,I’m slightly sure I cannot,7,6,4,4,4,3,3,0,1,0,1,2
P38,T,1,Disagree,Disagree,Agree,Neither pleasant nor unpleasant,Pleasant,7: Good,4: Slightly,Somewhat difficult,Somewhat boring,Very unlikely,Somewhat likely,Very unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I cannot,I’m slightly sure I can,I’m slightly sure I cannot,7,4,2,2,4,2,2,0,2,0,2,4
P38,T,2,Disagree,Disagree,Agree,Hopeful,Pleasant,7: Good,5: Somewhat,Somewhat difficult,Somewhat boring,Very unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m slightly sure I can,Maybe I can,7,5,2,2,4,2,2,0,1,1,2,4
P38,T,3,Disagree,Disagree,Agree,Neither pleasant nor unpleasant,Pleasant,7: Good,4: Slightly,Somewhat difficult,Somewhat boring,Very unlikely,Somewhat likely,Very unlikely,Very likely,Very likely,I’m slightly sure I can,I’m sure I can,I’m slightly sure I can,7,4,2,2,4,2,2,0,2,0,3,5
P38,T,4,Disagree,Disagree,Agree,Hopeful,Pleasant,7: Good,5: Somewhat,Somewhat difficult,Somewhat boring,Very unlikely,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m slightly sure I can,Maybe I can,7,5,2,2,4,2,2,0,2,1,2,5
P34,T,1,Strongly agree,Agree,Strongly agree,Very hopeful,Pleasant,8: Very Good,10: Extremely,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat likely,Very likely,Very likely,I’m slightly sure I cannot,Maybe I can,Maybe I can,8,10,5,4,5,3,3,0,2,2,3,7
P34,T,2,Strongly agree,Agree,Strongly agree,Neither pleasant nor unpleasant,Very pleasant,8: Very Good,10: Extremely,Somewhat easy,Somewhat fun,Very unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,I’m slightly sure I can,I’m slightly sure I can,I’m sure I cannot,8,10,5,4,5,3,3,0,2,2,2,6
